customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_value,charges_per_month,addon_count,churn_prob,risk_tier
1658-BYGOY,0,1,0,1,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1752.55,1,97.36,2,0.50977165,Medium
5698-BQJOH,1,0,0,1,9,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,94.4,857.25,1,95.25,2,0.65194476,High
5919-TMRGD,1,0,0,1,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.35,79.35,1,79.35,1,0.82752043,High
9191-MYQKX,1,0,1,1,7,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,70.99,1,0.4397906,Medium
8637-XJIVR,1,0,0,1,12,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,78.95,927.35,1,77.28,1,0.53184265,Medium
0278-YXOOG,0,0,0,0,5,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,21.05,113.85,1,22.77,0,0.30996713,Medium
4598-XLKNJ,1,1,1,1,25,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.5,2514.5,1,100.58,4,0.299801,Low
3192-NQECA,0,0,1,0,68,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),110.0,7611.85,1,111.94,5,0.4294616,Medium
0486-HECZI,0,0,1,1,55,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,96.75,5238.9,1,95.25,3,0.12952726,Low
4846-WHAFZ,1,1,1,1,37,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.5,2868.15,1,77.52,0,0.24869548,Low
5299-RULOA,1,0,1,1,10,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Electronic check,100.25,1064.65,1,106.46,3,0.67117286,High
0404-SWRVG,0,0,0,1,3,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.4,229.55,1,76.52,0,0.7501507,High
4412-YLTKF,1,1,0,1,27,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,78.05,2135.5,1,79.09,1,0.31592998,Medium
6207-WIOLX,1,0,1,0,25,0,0,DSL,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),58.6,1502.65,1,60.11,5,0.4776305,Medium
3091-FYHKI,0,0,0,0,1,0,0,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,35.45,35.45,1,35.45,1,0.9046912,High
2372-HWUHI,0,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,44.35,81.25,1,40.62,0,0.75106305,High
0390-DCFDQ,1,1,1,1,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,70.45,70.45,1,70.45,0,0.7184781,High
4080-OGPJL,1,0,0,0,8,1,1,DSL,1,0,0,1,0,1,Month-to-month,0,Electronic check,71.15,563.65,1,70.46,3,0.48399627,Medium
2135-RXIHG,0,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.65,45.65,1,45.65,0,0.868333,High
3874-EQOEP,0,0,0,1,7,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Mailed check,95.0,655.5,1,93.64,2,0.58960205,Medium
0867-MKZVY,1,0,1,1,20,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,82.4,1592.35,1,79.62,1,0.22986645,Low
3376-BMGFE,1,0,0,1,4,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),70.9,273.0,1,68.25,0,0.6155756,High
3445-HXXGF,0,1,1,0,58,0,0,DSL,0,1,1,0,0,1,Month-to-month,1,Electronic check,45.3,2651.2,1,45.71,3,0.6514598,High
1875-QIVME,1,0,1,1,2,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.4,242.8,1,121.4,4,0.8123833,High
0691-JVSYA,1,0,1,0,53,1,0,Fiber optic,0,0,1,0,1,1,One year,1,Bank transfer (automatic),94.85,5000.2,1,94.34,3,0.4826235,Medium
2656-FMOKZ,1,1,0,1,15,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,74.45,1145.7,1,76.38,0,0.5078585,Medium
2070-FNEXE,1,1,0,1,7,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),76.45,503.6,1,71.94,1,0.44664478,Medium
6317-YPKDH,1,0,0,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Bank transfer (automatic),29.95,29.95,1,29.95,1,0.7620498,High
9367-WXLCH,0,0,0,1,8,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Bank transfer (automatic),84.5,662.65,1,82.83,1,0.52483094,Medium
1918-ZBFQJ,1,0,0,1,13,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,79.25,1111.65,1,85.51,2,0.5439296,Medium
1024-GUALD,1,0,1,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,24.8,24.8,1,24.8,0,0.88521063,High
2472-OVKUP,0,0,1,1,6,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,91.0,531.0,1,88.5,3,0.5045885,Medium
1285-OKIPP,0,0,0,1,1,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Electronic check,79.9,79.9,1,79.9,1,0.76715577,High
7825-ECJRF,1,0,0,1,19,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Electronic check,106.6,1934.45,1,101.81,5,0.4664759,Medium
7841-TZDMQ,0,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),46.0,84.5,1,42.25,0,0.755091,High
9408-SSNVZ,1,0,0,1,4,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.15,268.35,1,67.09,0,0.70207465,High
0742-MOABM,0,0,1,0,4,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,50.05,179.35,1,44.84,1,0.6085193,High
2232-DMLXU,1,0,1,0,1,1,0,DSL,0,0,0,0,1,0,Month-to-month,0,Mailed check,55.2,55.2,1,55.2,1,0.79767615,High
8937-RDTHP,0,0,0,1,1,1,0,Fiber optic,1,0,0,0,0,1,Month-to-month,1,Mailed check,84.6,84.6,1,84.6,2,0.6840005,High
1251-KRREG,0,0,0,0,2,1,1,DSL,0,1,0,0,0,0,Month-to-month,1,Mailed check,54.4,114.1,1,57.05,1,0.7714423,High
0094-OIFMO,1,1,0,1,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120.3,1,101.85,3,0.6707892,High
9947-OTFQU,0,1,0,0,15,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,74.4,1074.3,1,71.62,1,0.81933093,High
0322-YINQP,0,0,0,0,1,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,48.55,48.55,1,48.55,1,0.7593825,High
4629-NRXKX,1,0,1,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,70.4,147.15,1,73.58,0,0.8569067,High
9514-JDSKI,0,1,1,0,1,0,0,DSL,0,1,0,0,1,0,Month-to-month,0,Electronic check,40.2,40.2,1,40.2,2,0.881991,High
4959-JOSRX,1,0,1,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),44.6,80.55,1,40.28,0,0.76824385,High
7273-TEFQD,0,1,0,0,3,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,41.15,132.2,1,44.07,2,0.8796286,High
3606-TWKGI,0,1,0,0,13,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.9,1364.3,1,104.95,4,0.90693134,High
6323-AYBRX,0,0,0,0,59,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,19.35,1099.6,1,18.64,0,0.031798895,Low
4385-GZQXV,1,1,0,0,16,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.45,1511.2,1,94.45,3,0.82017237,High
6366-ZGQGL,0,0,0,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),24.8,24.8,1,24.8,0,0.7693052,High
5940-AHUHD,0,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,70.6,70.6,1,70.6,0,0.8519468,High
6432-TWQLB,0,0,1,0,5,1,1,Fiber optic,0,1,0,1,0,0,Month-to-month,1,Electronic check,85.4,401.1,1,80.22,2,0.8538201,High
4484-GLZOU,1,0,1,0,52,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,105.05,5624.85,1,108.17,4,0.8095057,High
9512-UIBFX,0,0,1,0,18,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,0,Mailed check,95.15,1779.95,1,98.89,3,0.67577165,High
5583-SXDAG,0,0,1,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,70.0,70.0,1,70.0,0,0.9104053,High
3488-PGMQJ,0,1,0,0,8,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,74.5,606.55,1,75.82,1,0.81587315,High
3580-REOAC,0,0,0,0,10,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),44.85,435.4,1,43.54,0,0.47802454,Medium
7534-BFESC,0,1,0,0,24,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.1,1712.7,1,71.36,0,0.7395035,High
6390-DSAZX,1,0,0,0,1,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Mailed check,73.6,73.6,1,73.6,1,0.84570533,High
8098-LLAZX,1,1,0,0,4,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,396.1,1,99.02,2,0.9299212,High
0265-EDXBD,0,1,1,0,32,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.9,2303.35,1,71.98,0,0.7808162,High
7563-BIUPC,0,0,0,0,5,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.6,415.55,1,83.11,1,0.88247716,High
2321-OMBXY,1,0,1,0,38,1,0,DSL,1,1,0,1,1,1,One year,0,Credit card (automatic),80.3,3058.65,1,80.49,5,0.2434854,Low
2840-XANRC,0,1,1,0,24,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,93.15,2231.05,1,92.96,3,0.79854834,High
5020-ZSTTY,1,1,0,0,54,1,1,DSL,1,1,0,1,1,1,One year,0,Bank transfer (automatic),82.45,4350.1,1,80.56,5,0.19052216,Low
5804-LEPIM,1,1,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.35,139.05,1,69.53,0,0.903244,High
0122-OAHPZ,1,0,0,0,7,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.85,511.25,1,73.04,0,0.8508092,High
2868-SNELZ,1,0,0,0,2,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,0,Mailed check,80.6,155.8,1,77.9,1,0.8131102,High
4322-RCYMT,0,0,1,0,68,1,1,DSL,0,1,1,1,0,1,One year,1,Bank transfer (automatic),75.8,5293.95,1,77.85,4,0.21301627,Low
6680-NENYN,1,0,0,0,43,1,1,Fiber optic,0,1,1,0,1,1,Two year,1,Electronic check,104.6,4759.85,1,110.69,4,0.6516882,High
1343-EHPYB,0,0,1,0,63,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,103.4,6603.0,1,104.81,4,0.7566216,High
2034-GDRCN,1,0,0,0,2,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,90.4,168.2,1,84.1,2,0.91320896,High
0219-YTZUE,0,0,1,0,4,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),84.8,371.9,1,92.98,2,0.8773229,High
0623-IIHUG,1,1,0,0,21,0,0,DSL,1,0,0,0,1,0,Month-to-month,1,Electronic check,41.9,840.1,1,40.0,2,0.68715465,High
4572-DVCGN,1,0,0,0,10,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Bank transfer (automatic),80.25,846.0,1,84.6,1,0.7895662,High
9057-MSWCO,0,1,1,0,27,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Credit card (automatic),30.75,805.1,1,29.82,1,0.48029524,Medium
1010-DIAUQ,0,0,0,0,5,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),96.5,492.55,1,98.51,3,0.8304754,High
0259-GBZSH,0,0,0,0,2,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,85.65,181.5,1,90.75,1,0.92709154,High
9601-BRXPO,1,0,1,0,25,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),104.95,2566.5,1,102.66,4,0.7931316,High
6905-NIQIN,0,0,0,0,1,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,50.65,50.65,1,50.65,1,0.71807635,High
5167-ZFFMM,0,0,0,0,1,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Credit card (automatic),90.85,90.85,1,90.85,2,0.9130428,High
4895-TMWIR,0,1,1,0,11,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.95,214.75,1,19.52,0,0.29224506,Low
0533-BNWKF,1,1,1,0,55,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,85.45,4874.7,1,88.63,2,0.6649417,High
6599-CEBNN,1,0,0,0,34,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),73.95,2524.45,1,74.25,1,0.60282606,High
0979-PHULV,0,0,1,0,69,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),99.45,7007.6,1,101.56,3,0.69141936,High
4800-VHZKI,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.9,19.9,1,19.9,0,0.69569635,High
7989-CHGTL,0,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.6,19.6,1,19.6,0,0.6806319,High
0334-GDDSO,0,1,0,0,3,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,81.35,233.7,1,77.9,1,0.8805184,High
0578-SKVMF,1,0,1,0,22,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,83.3,1845.9,1,83.9,2,0.65876603,High
5564-NEMQO,1,1,0,0,1,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),75.3,75.3,1,75.3,1,0.9079406,High
9063-ZGTUY,1,0,1,0,61,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.4,1182.55,1,19.39,0,0.20449199,Low
2957-LOLHO,0,0,0,0,12,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),45.4,518.9,1,43.24,0,0.506979,Medium
7752-XUSCI,1,0,0,0,60,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,105.9,6396.45,1,106.61,4,0.7464249,High
4110-PFEUZ,1,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,69.55,69.55,1,69.55,0,0.8519145,High
0256-LTHVJ,1,0,1,0,28,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,81.05,2227.1,1,79.54,1,0.75537163,High
0880-TKATG,0,0,1,0,4,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,0,Electronic check,101.15,385.9,1,96.48,3,0.91541433,High
3811-VBYBZ,0,0,0,0,7,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.8,673.25,1,96.18,3,0.91385204,High
4640-UHDOS,1,0,1,0,13,1,0,DSL,0,0,0,0,0,1,Month-to-month,0,Electronic check,55.95,734.35,1,56.49,1,0.5733205,Medium
3583-EKAPL,0,0,0,0,1,1,0,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,55.0,55.0,1,55.0,1,0.86465627,High
9399-APLBT,1,0,1,0,1,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,74.7,74.7,1,74.7,1,0.92375153,High
2359-KMGLI,0,0,0,0,24,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,80.25,1861.5,1,77.56,1,0.7072531,High
0306-JAELE,0,0,0,0,5,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,96.1,453.4,1,90.68,3,0.87653863,High
6227-HWPWX,1,0,0,0,15,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),69.0,994.8,1,66.32,0,0.6124139,High
0447-BEMNG,1,0,1,0,48,0,0,DSL,1,0,1,0,0,1,Month-to-month,1,Bank transfer (automatic),45.3,2145.0,1,44.69,3,0.50060755,Medium
5949-XIKAE,1,0,1,0,8,1,0,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,83.55,680.05,1,85.01,2,0.8680688,High
8372-JUXUI,0,0,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.35,74.35,1,74.35,0,0.9330018,High
0388-EOPEX,1,0,1,0,2,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,74.4,139.4,1,69.7,1,0.85931975,High
8205-OTCHB,0,0,0,0,22,0,0,DSL,0,1,1,0,0,1,One year,1,Bank transfer (automatic),43.75,903.6,1,41.07,3,0.3502562,Medium
6235-VDHOM,1,1,0,0,5,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,28.45,131.05,1,26.21,1,0.743615,High
7783-YKGDV,1,0,0,0,12,1,1,Fiber optic,1,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),99.7,1238.45,1,103.2,4,0.8026679,High
5609-CEBID,1,1,0,0,20,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,94.1,1782.4,1,89.12,3,0.77095914,High
7218-HKQFK,0,0,1,0,2,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,167.5,1,83.75,3,0.8953088,High
4636-QRJKY,1,0,1,0,6,1,1,Fiber optic,0,0,0,1,0,0,Month-to-month,1,Electronic check,80.5,502.85,1,83.81,1,0.8622732,High
5956-VKDTT,1,1,1,0,5,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.35,334.8,1,66.96,0,0.898146,High
9412-GHEEC,0,0,0,0,40,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,0,Bank transfer (automatic),104.8,4131.95,1,103.3,4,0.6473584,High
0257-ZESQC,1,1,1,0,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,1,71.46,1,0.5922733,Medium
6825-UYPFK,1,0,0,0,23,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),75.6,1758.6,1,76.46,0,0.51367205,Medium
8397-MVTAZ,0,0,1,0,34,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.05,3480.0,1,102.35,3,0.8339219,High
9282-IZGQK,1,0,0,0,1,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.0,85.0,1,85.0,1,0.9441185,High
1342-JPNKI,0,0,0,0,10,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),86.05,834.1,1,83.41,1,0.83106494,High
2817-NTQDO,0,0,0,0,13,0,0,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),45.55,597.0,1,45.92,3,0.50605744,Medium
6986-IJDHX,0,0,1,0,39,1,0,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Mailed check,86.3,3266.0,1,83.74,2,0.6703297,High
5301-GAUUY,0,0,0,0,32,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),80.35,2596.15,1,81.13,1,0.63917994,High
0939-YAPAF,1,0,0,0,35,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.25,3527.6,1,100.79,3,0.7844335,High
4710-FDUIZ,0,0,1,0,56,1,1,Fiber optic,0,1,0,0,1,1,One year,0,Credit card (automatic),100.3,5614.45,1,100.26,3,0.4853469,Medium
1218-VKFPE,1,0,1,0,12,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.0,233.55,1,19.46,0,0.29489928,Low
3627-FHKBK,1,0,0,0,1,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,75.3,75.3,1,75.3,1,0.7923756,High
2865-TCHJW,1,1,0,0,4,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Electronic check,89.2,346.2,1,86.55,2,0.9110921,High
5192-EBGOV,1,1,0,0,1,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,85.7,85.7,1,85.7,1,0.9497985,High
0719-SYFRB,1,0,0,0,12,1,1,DSL,1,0,1,1,0,0,Month-to-month,1,Mailed check,61.65,713.75,1,59.48,3,0.39235705,Medium
3419-SNJJD,1,1,1,0,65,1,1,Fiber optic,1,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),105.25,6786.4,1,104.41,4,0.6058456,High
6543-CPZMK,0,0,1,0,9,0,0,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,29.95,248.95,1,27.66,1,0.73685145,High
4765-OXPPD,1,0,1,0,9,1,0,DSL,1,1,1,1,0,0,Month-to-month,0,Mailed check,65.0,663.05,1,73.67,4,0.3315147,Medium
1009-IRMNA,1,0,0,0,7,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.0,137.6,1,19.66,0,0.24863079,Low
4554-YGZIH,0,1,1,0,49,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),90.05,4547.25,1,92.8,2,0.61142254,High
5099-BAILX,0,1,1,0,43,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),110.75,4687.9,1,109.02,5,0.7570995,High
7207-RMRDB,1,0,1,0,65,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,105.5,6985.65,1,107.47,4,0.7407426,High
4913-EHYUI,0,1,1,0,56,1,1,Fiber optic,1,0,1,0,1,1,One year,1,Bank transfer (automatic),104.55,5794.65,1,103.48,4,0.6230178,High
0195-IESCP,0,0,1,0,10,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.25,855.3,1,85.53,1,0.88927644,High
4580-TMHJU,1,0,1,0,43,1,0,DSL,0,0,0,0,1,0,Month-to-month,0,Electronic check,56.15,2499.3,1,58.12,1,0.5240834,Medium
0970-ETWGE,0,0,0,0,1,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.55,89.55,1,89.55,2,0.9431709,High
1626-ERCMM,0,1,1,0,20,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,94.55,1899.65,1,94.98,2,0.8548149,High
0887-HJGAR,0,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,45.7,45.7,1,45.7,0,0.8141864,High
5644-PDMZC,1,1,0,0,2,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,89.5,161.5,1,80.75,2,0.8640928,High
9576-ANLXO,1,0,0,0,3,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),69.55,222.3,1,74.1,0,0.7876362,High
2024-BASKD,1,0,0,0,1,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Mailed check,74.6,74.6,1,74.6,1,0.89639187,High
4160-AMJTL,1,1,0,0,8,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.65,164.3,1,20.54,0,0.36967698,Medium
4464-JCOLN,0,0,1,0,2,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,19.85,35.9,1,17.95,0,0.20720807,Low
5650-VDUDS,1,0,0,0,4,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,24.25,96.05,1,24.01,0,0.7038481,High
7538-GWHML,1,0,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,69.65,145.15,1,72.58,0,0.8241646,High
